,Original,Predicted
,0,0
0,96,76.87548966039861
1,85,81.13874663386537
2,86,78.30865112518454
3,76,77.66796042263894
4,75,77.9500812067908
5,91,77.71225758077242
6,80,77.95883346079725
7,74,78.24092278230272
8,69,78.20750668681401
9,96,78.18213100893645
10,97,78.21303115689082
11,142,78.24294102248294
12,89,78.29164975977373
13,49,78.34467199985484
14,95,78.38374621657186
15,103,78.41915208341432
16,97,78.45671486300587
17,80,78.49532258630745
18,85,78.53503519344171
19,78,78.57508772283998
20,72,78.61451324504465
21,80,78.65357868300487
22,74,78.69267421250117
23,59,78.7318586381073
24,73,78.7711230802908
25,72,78.81041663739059
26,73,78.84968262442915
27,68,78.8889222750363
28,61,78.9281574538826
29,99,78.96739757943017
30,65,79.00664345249365
31,77,79.04589189342899
32,67,79.08513929299208
33,78,79.12438497836898
34,93,79.16363003018625
35,78,79.2028752633381
36,93,79.24212087704116
37,80,79.28136670623735
38,61,79.32061251674833
39,88,79.3598582248384
40,79,79.39910387481343
41,81,79.43834952443467
42,74,79.47759519673994
43,80,79.51684088580528
44,82,79.55608657695916
45,101,79.59533226257298
46,87,79.63457794368064
47,83,79.67382362390012
48,77,79.71306930529786
49,166,79.75231498789977
50,122,79.79156067085191
51,100,79.8308063535482
52,107,79.87005203593029
53,73,79.9092977181997
54,74,79.94854340051731
55,72,79.98778908291479
56,99,80.02703476534796
57,69,80.066280447773
58,98,80.10552613017802
59,103,80.14477181257259
