,Original,Predicted,
,0,0,
,96,68.09314805,0.001251604
1,85,63.27873842,
2,86,52.44581519,
3,76,69.17740488,
4,75,77.49476311,
5,91,64.25095443,
6,80,82.00722909,
7,74,58.48020937,
8,69,51.21060384,
9,96,58.85230588,
10,97,58.78846954,
11,142,62.44462302,
12,89,50.62954233,
13,49,68.12682383,
14,95,57.57890563,
15,103,81.1017013,
16,97,73.10830749,
17,80,65.42445672,
18,85,70.2506313,
19,78,62.30482228,
20,72,61.71447274,
21,80,64.18202731,
22,74,47.26530394,
23,59,48.96255686,
24,73,42.97124248,
25,72,54.23110437,
26,73,51.72510908,
27,68,45.8156556,
28,61,46.44484708,
29,99,41.70114503,
30,65,45.25203957,
31,77,42.13745802,
32,67,62.24227595,
33,78,78.00166518,
34,93,65.35066564,
35,78,60.48059659,
36,93,67.58137865,
37,80,73.16459289,
38,61,55.88728876,
39,88,64.63456257,
40,79,56.06373985,
41,81,67.30771726,
42,74,58.48733135,
43,80,68.93528784,
44,82,68.45555455,
45,101,59.36453611,
46,87,64.05815407,
47,83,60.65556874,
48,77,59.90358202,
49,166,51.82481315,
50,122,44.75372289,
51,100,50.52408787,
52,107,50.82225622,
53,73,68.76146466,
54,74,54.02853325,
55,72,79.85875376,
56,99,50.80838575,
57,69,54.08925382,
58,98,58.63045572,
59,103,57.07282642,
